 PASSENGERS , FREIGHT , MAIL , Passenger Miles ,CARRIER_NAME
" 887,902 "," 74,505,922 ", -   ," 6,253,453,335 ",Singapore Airlines Ltd. Total
" 872,816 "," 13,609,962 ", -   ," 2,534,808,213 ",Icelandair Total
" 815,213 ", -   , -   ," 309,624,884 ","Porter Airlines, Inc. Total"
" 774,893 "," 44,408,337 ", -   ," 4,643,305,292 ",China Eastern Airlines Total
" 724,209 ", -   , -   ," 801,453,164 ",ABC Aerolineas SA de CV dba Interjet Total
" 705,668 "," 29,614,200 ", -   ," 4,190,263,933 ",El Al Israel Airlines Ltd. Total
" 705,410 ", -   , -   ," 155,745,943 ",Silver Airways Total
" 703,218 "," 88,261,987 ", -   ," 3,030,033,533 ",Lan-Chile Airlines Total
" 702,905 "," 29,979,967 ", -   ," 4,485,657,564 ",Philippine Airlines Inc. Total
" 683,665 ", -   ," 67,669 "," 70,974,477 ",Cape Air Total
" 680,751 "," 11,312,405 ", -   ," 3,503,095,299 ",Aeroflot Russian Airlines Total
" 607,939 "," 354,418 ", -   ," 504,522,582 ",Aerolitoral Total
" 585,156 "," 66,301,401 ", -   ," 1,882,599,223 ",Lan Peru Airlines Total
" 566,750 "," 11,459,586 ", -   ," 4,304,865,869 ",National Aviation Company of India Limited d/b/a Air India Total
" 531,828 "," 37,989,430 ", -   ," 2,365,523,100 ",Austrian Airlines Total
" 479,910 "," 29,130,151 ", -   ," 2,236,312,839 ",Aerolineas Argentinas Total
" 463,885 ", -   , -   ," 92,951,400 ",Bahamasair Holding Limited Total
" 442,458 "," 1,903,479 "," 1,373,951 "," 94,488,643 ",Era Aviation Total
" 427,198 "," 34,670,218 ", -   ," 3,127,251,282 ",Virgin Blue International Airlines t/a V Australia Total
" 421,977 "," 15,340,315 ", -   ," 3,107,689,578 ",China Southern Airlines Total
" 403,353 "," 33,525,943 ", -   ," 2,506,032,880 ",Hainan Airlines Company Limited Total
" 401,919 ", -   , -   ," 185,083,544 ",Air Georgian Total
" 388,771 "," 32,478,651 ", -   ," 1,598,686,632 ",Azul Linhas Aereas Brazileiras S A Total
" 366,214 ", -   , -   ," 498,051,040 ","Santa Barbara Airlines, C.A Total"
" 350,506 ", -   , -   ," 228,909,966 ","Swift Air, LLC Total"
" 345,787 "," 16,890 ", -   ," 33,794,680 ",Island Air Hawaii Total
" 338,040 "," 22,551,903 ", -   ," 2,332,255,412 ",Saudi Arabian Airlines Corp Total
" 317,675 "," 1,653,326 ", -   ," 1,368,237,713 ",Thomas Cook Airlines Uk Ltd. Total
" 301,061 "," 21,515,886 ", -   ," 1,344,711,443 ",Polskie Linie Lotnicze Total
" 287,653 "," 11,612,710 ", -   ," 2,175,807,398 ",South African Airways Total
" 285,724 "," 9,760,234 ", -   ," 1,040,617,641 ",Tap-Portuguese Airlines Total
" 270,068 "," 9,075,137 ", -   ," 1,084,605,097 ",Air Europa Total
" 267,419 "," 7,921,995 ", -   ," 1,370,311,572 ",Jetstar Airways Pty Limited Total
" 259,265 "," 3,764,727 "," 21,998,718 "," 26,559,884 ",Hageland Aviation Service Total
" 258,034 ", -   , -   ," 14,668,939 ","Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines Total"
" 246,530 "," 17,313,248 ", -   ," 1,092,828,356 ",Air Tahiti Nui Total
" 243,959 "," 1,007,685 ", -   ," 778,273,715 ",Omni Air Express Total
" 243,064 ", -   , -   ," 16,922,182 ","Mokulele Flight Services, Inc. Total"
" 242,827 "," 3,841,467 ", -   ," 1,206,395,850 ",Condor Flugdienst Total
" 238,560 "," 1,731,097 ", -   ," 524,296,025 ",Lacsa Total
" 237,173 "," 4,207,935 ", -   ," 29,620,391 ",Seaborne Aviation Total
" 233,201 "," 13,072,135 ", -   ," 595,338,799 ",Lan Ecuador Total
" 226,276 "," 13,241,372 ", -   ," 843,034,942 ",Brussels Airlines N.V. Total
" 225,982 "," 15,840,836 ", -   ," 967,550,094 ",Finnair Oy Total
" 221,922 "," 1,240,083 "," 1,810,957 "," 99,802,090 ",Peninsula Airways Inc. Total
" 212,210 "," 292,670 ", -   ," 143,285,723 ",Cayman Airways Limited Total
" 209,741 "," 7,886,881 ", -   ," 1,267,665,755 ",Alia-(The) Royal Jordanian Total
" 203,055 ", -   , -   ," 84,122,918 ","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines Total"
" 194,082 "," 9,167,261 ", -   ," 1,014,585,733 ",Air Pacific Ltd. Total
" 193,866 ", -   , -   ," 388,119,732 ",Jin Air Co Ltd. Total
" 190,299 ", -   , -   ," 289,497,862 ",Air Transat Total
" 187,338 ", -   , -   ," 14,122,018 ",Empire Airlines Inc. Total
" 177,893 ", -   , -   ," 250,016,443 ",Sunwing Airlines Inc. Total
" 177,503 ", -   , -   ," 178,105,692 ",XTRA Airways Total
" 174,836 "," 1,091,313 ", -   ," 696,480,292 ",XL Airways France Total
" 168,036 "," 13,939,293 ", -   ," 942,460,266 ",Jet Airways (India) Limited Total
" 167,535 ", -   , -   ," 153,501,414 ",Miami Air International Total
" 164,212 "," 6,047,227 ", -   ," 1,181,176,916 ",Ethiopian Airlines Total
" 161,104 ", -   , -   ," 318,624,660 ",Sichuan Airlines Co Ltd. Total
" 157,445 "," 21,055,763 ", -   ," 641,655,520 ",LAN Argentina Total
" 154,286 "," 8,634,884 ", -   ," 866,315,890 ",Egyptair Total
" 152,440 ", -   , -   ," 108,536,855 ","Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus Total"
" 149,938 ", -   , -   ," 147,275,158 ",VRG Linhas Aereas S A Total
